MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000000000,22222222,714,Active Import Interval (kW),01-01-2023 01:00
10000000000,22222222,1155,Active Import Interval (kW),01-01-2023 13:00
10000000000,22222222,231,Active Import Interval (kW),01-01-2023 18:00
10000000000,22222222,714,Active Import Interval (kW),01-04-2023 01:00
10000000000,22222222,1155,Active Import Interval (kW),01-04-2023 13:00
10000000000,22222222,231,Active Import Interval (kW),01-04-2023 18:00
10000000000,22222222,714,Active Import Interval (kW),01-07-2023 01:00
10000000000,22222222,1155,Active Import Interval (kW),01-07-2023 13:00
10000000000,22222222,231,Active Import Interval (kW),01-07-2023 18:00
10000000000,22222222,714,Active Import Interval (kW),31-12-2023 01:00
10000000000,22222222,1155,Active Import Interval (kW),31-12-2023 13:00
10000000000,22222222,231,Active Import Interval (kW),31-12-2023 18:00
